"","Predator","Prey"
"553","Tadorna ferruginea","Speleomantes ambrosii"
"554","Tadorna ferruginea","Speleomantes flavus"
"555","Tadorna ferruginea","Speleomantes genei"
"556","Tadorna ferruginea","Speleomantes imperialis"
"557","Tadorna ferruginea","Speleomantes italicus"
"558","Tadorna ferruginea","Speleomantes sarrabusensis"
"559","Tadorna ferruginea","Speleomantes strinatii"
"560","Tadorna ferruginea","Speleomantes supramontis"
"561","Tadorna ferruginea","Ichthyosaura alpestris"
"562","Tadorna ferruginea","Lissotriton boscai"
"563","Tadorna ferruginea","Triturus carnifex"
"564","Tadorna ferruginea","Triturus cristatus"
"565","Tadorna ferruginea","Triturus dobrogicus"
"566","Tadorna ferruginea","Lissotriton helveticus"
"567","Tadorna ferruginea","Lissotriton italicus"
"568","Tadorna ferruginea","Triturus karelinii"
"569","Tadorna ferruginea","Triturus marmoratus"
"570","Tadorna ferruginea","Lissotriton montandoni"
"571","Tadorna ferruginea","Triturus pygmaeus"
"572","Tadorna ferruginea","Ommatotriton vittatus"
"573","Tadorna ferruginea","Lissotriton vulgaris"
"574","Tadorna ferruginea","Pelophylax caralitanus"
"575","Tadorna ferruginea","Ommatotriton ophryticus"
"576","Tadorna ferruginea","Calotriton arnoldi"
"577","Tadorna ferruginea","Bufotes boulengeri"
"578","Tadorna ferruginea","Bufotes variabilis"
