"","role","sourceFW","estimate_(Intercept)_Serengeti","std.error_(Intercept)_Serengeti","estimate_(Intercept)_Pyrenees","std.error_(Intercept)_Pyrenees","insample","estimate_empirical_Euro","estimate_(Intercept)_Arctic","std.error_(Intercept)_Arctic","estimate_empirical_Serengeti","std.error_empirical_Serengeti","estimate_empirical_Pyrenees","std.error_empirical_Pyrenees","estimate_(Intercept)_Euro","std.error_(Intercept)_Euro","estimate_empirical_Arctic","std.error_empirical_Arctic","r.squared_Serengeti","r.squared_Pyrenees","std.error_empirical_Euro","r.squared_Arctic"
"190","position23","Pyrenees",NA,NA,7.84903061224489,0.784559046090954,"within food web",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"191","position23","Serengeti",NA,NA,50.0569387755102,2.15829166437494,"between food webs",411.103518878708,36.5419791666667,2.41162843270342,NA,NA,NA,NA,1653.12311523731,39.6203887366367,-7.33197916666671,33.503412924697,NA,0,197.661226911056,0.000250681389989088
"192","position23","Serengeti",82.3130872483222,4.27343287850643,NA,NA,"within food web",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"193","position24","Arctic",NA,NA,NA,NA,"within food web",NA,7.89770833333333,0.803622409250048,NA,NA,NA,NA,NA,NA,20.1522916666668,11.164279309173,NA,NA,NA,0.0167728927522977
"194","position24","Arctic",70.446744966443,3.17812042744862,32.3216326530612,1.99798404466621,"between food webs",54.0256321905756,NA,NA,NA,NA,NA,NA,761.595527196085,18.2158589978876,NA,NA,0,0,51.7072293148128,NA
"195","position24","Euro",18.5741610738255,1.74697148626725,11.6625510204082,1.30052670894627,"between food webs",NA,3.95656670875421,0.596376160792999,NA,NA,NA,NA,NA,NA,15.0134332912459,8.28512241045987,0,0,NA,0.0169015227617485
"196","position24","Euro",NA,NA,NA,NA,"within food web",84.3168299914272,NA,NA,NA,NA,NA,NA,100.888288312676,5.65673128671173,NA,NA,NA,NA,16.0571017731416,NA
"197","position24","Pyrenees",41.7439261744967,2.16781279351152,NA,NA,"between food webs",35.8069980212825,5.21208333333333,0.536877459367828,NA,NA,NA,NA,186.352490219206,5.87541194380572,0.487916666666669,7.45854003346569,0,NA,16.6778449884017,2.2404773553641e-05
"198","position24","Pyrenees",NA,NA,7.82918367346939,0.7246604262478,"within food web",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"199","position24","Serengeti",NA,NA,49.8639795918368,3.76177755927169,"between food webs",-35.8615515207749,35.1545833333333,3.22379482097396,NA,NA,NA,NA,1669.6802461473,57.2508881938086,-28.9245833333335,44.7863889838592,NA,0,162.511403094263,0.00217902087604944
